Year,Town,Residential Type,Serial Number,List Year,Date Recorded,Address,Assessed Value,Sale Amount,Sales Ratio,Location,Lat,Long,BusinessEstablishment,EmploymentData,EmploymentWages,UnemploymentRates
2008,Norwalk,Condo,70833,2007,2008-07-02,442 MAIN AVE,308980.0,583400.0,0.53,POINT (-73.4251841 41.1482863),-73.4251841,41.1482863,"3,178","45,121",78022,4.7
2011,Branford,Condo,110047,2011,2011-11-21,4 JERIMOTH DR,178700.0,215000.0,0.83,POINT (-72.82231724329003 41.30913125705498),-72.82231724,41.30913126,"1,113","12,368",42912,8.4
2017,Bridgeport,Condo,167930,2016,2017-09-27,95 LANCE CIR,105820.0,148000.0,0.72,POINT (-73.23277247937577 41.22664270492695),-73.23277248,41.2266427,"2,619","42,180",48383,6.5
2016,Farmington,Condo,16010,2016,2016-10-05,2 PARTRIDGE LA,177280.0,275000.0,0.64,POINT (-72.8887219153397 41.69914769771562),-72.88872192,41.6991477,"1,324","31,750",67347,3.6
2018,Farmington,Condo,18027,2018,2018-10-24,7 MALLARD DR,109430.0,200000.0,0.55,POINT (-72.8790688 41.7619875),-72.8790688,41.7619875,"1,374","32,266",70123,3
2008,Bridgeport,Single Family,71291,2007,2008-06-16,304 DOVER ST,43390.0,148000.0,0.29,POINT (-73.16728 41.19747),-73.16728,41.19747,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,71197,2007,2008-05-27,680 BROOKS ST,57960.0,76500.0,0.76,POINT (-73.1792 41.19536),-73.1792,41.19536,"2,404","44,709",50265,8.7
2008,Hamden,Single Family,70593,2007,2008-07-01,19 VERNON ST,158760.0,245000.0,0.65,POINT (-72.90241 41.39289),-72.90241,41.39289,"1,540","20,757",42293,5.4
2008,Greenwich,Condo,70316,2007,2008-03-03,63 INDIAN HARBOR DR #1,349020.0,550000.0,0.63,POINT (-73.61995 41.02),-73.61995,41.02,"4,054","36,859",142009,4
2008,Milford,Condo,70715,2007,2008-08-13,324 FOXWOOD LN,171590.0,188000.0,0.91,POINT (-73.0328192 41.2452814),-73.0328192,41.2452814,"1,952","29,391",47756,4.8
2008,Hamden,Single Family,70549,2007,2008-06-18,34 WOODLAWN ST,210910.0,265000.0,0.8,POINT (-72.91038 41.36257),-72.91038,41.36257,"1,540","20,757",42293,5.4
2008,Branford,Single Family,70203,2007,2008-03-03,33 OLD SMUGGLERS RD,221400.0,345000.0,0.64,POINT (-72.82605 41.26781),-72.82605,41.26781,"1,130","12,687",45337,4.8
2008,Hamden,Condo,70385,2007,2008-04-14,14 EAST GATE LN,112910.0,168000.0,0.67,POINT (-72.92233151890616 41.3741187256528),-72.92233152,41.37411873,"1,540","20,757",42293,5.4
2008,Hamden,Single Family,70217,2007,2008-01-16,85 LONDON DR.,123620.0,180000.0,0.69,POINT (-72.89958 41.34291),-72.89958,41.34291,"1,540","20,757",42293,5.4
2008,Norwalk,Single Family,70456,2007,2008-03-27,140 HIGHLAND AVE,547260.0,1250000.0,0.44,POINT (-73.43468 41.07366),-73.43468,41.07366,"3,178","45,121",78022,4.7
2008,Norwalk,Single Family,70456,2007,2008-03-27,140 HIGHLAND AVE,547260.0,1250000.0,0.44,POINT (-73.43468 41.07366),-73.43468,41.07366,"3,178","45,121",78022,4.7
2008,Fairfield,Single Family,70510,2007,2008-06-10,34 LALLEY BLVD,515480.0,1070000.0,0.48,POINT (-73.2497599 41.1380052),-73.2497599,41.1380052,"2,278","24,424",59671,4.6
2008,Bridgeport,Single Family,71238,2007,2008-06-04,676 BROOKS ST,57970.0,125000.0,0.46,POINT (-73.1789596 41.1953011),-73.1789596,41.1953011,"2,404","44,709",50265,8.7
