Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Andover,570,565,571,575,572,536,359,361,336,379,372,357,362,387,387,342,338,405
Ansonia,3780,3750,3731,3643,3615,3917,3909,3793,3368,3366,3393,3281,3328,3421,3338,3075,3284,3333
Ashford,448,459,486,495,504,498,513,537,539,569,559,555,576,586,586,525,526,602
Avon,7904,8091,8167,8172,7905,7931,8003,8366,8052,8018,8266,8275,8031,8300,8455,7540,7498,7927
Barkhamsted,611,583,561,613,616,1051,1088,1145,597,574,558,530,537,562,528,467,538,552
Beacon falls,841,880,1060,1043,887,960,929,855,842,868,912,884,903,936,967,963,1054,1090
Berlin,11373,11628,12018,12638,12033,11105,11233,11442,11616,11535,11689,11770,11413,11721,11813,10953,11022,11161
Bethany,1045,1103,1096,1059,1005,1038,1071,1092,1111,1170,1223,1248,1275,1234,1215,1132,1236,1324
Bethel,6861,6795,6968,6888,6359,6571,6956,7026,7098,7053,7182,7244,7244,7257,7183,6742,6824,7035
Bethlehem,638,662,673,679,653,676,711,709,696,707,722,749,787,815,815,926,968,1016
Bloomfield,16167,16516,16640,17522,17488,17354,18506,19063,19045,19276,19583,19593,18790,19535,19820,19599,20295,20380
Bolton,1119,1208,1230,1232,1204,1183,1165,1249,1261,1257,1197,1211,1279,1273,1309,1184,1124,1185
Bozrah,1063,1088,1096,1073,990,977,967,1012,1112,1172,1167,1132,1186,1215,1292,1384,1334,1401
Branford,12578,12690,13005,12687,12239,12117,12368,12392,12567,12787,12822,12976,13093,12853,12847,11627,12169,12554
Bridgeport,44866,44935,44569,44709,42750,42096,41902,42557,42343,42966,43101,42937,42180,42028,41724,38720,39373,40692
Bridgewater,242,245,245,257,247,232,230,241,250,270,272,287,319,344,333,291,289,332
Bristol,21041,20834,21315,21068,20268,20032,20596,21080,21594,21973,22303,22324,22314,22349,22425,20687,20825,21156
Brookfield,7226,7296,7722,7678,7252,6543,6717,6786,7025,7268,7388,7366,7217,7281,7097,6453,7013,7195
Brooklyn,1334,1399,1383,1398,1418,1371,1397,1420,1520,1760,1774,1842,1791,1730,1735,1649,1737,1937
Burlington,1163,1187,1141,1172,1158,1039,975,874,906,903,906,885,909,965,981,928,946,1111
Canaan,697,670,653,714,723,698,736,813,826,903,928,983,958,956,976,893,882,915
Canterbury,574,612,533,498,478,452,451,491,515,543,566,567,525,535,537,519,619,641
Canton,3196,3298,3445,3360,3143,3044,3142,3219,3512,3534,3492,3599,3666,3555,3564,3177,3378,3635
Chaplin,309,340,318,323,301,306,304,344,337,337,318,295,277,280,250,242,273,279
Cheshire,14903,15553,16128,16477,15096,14499,14428,15158,15427,16124,15962,15951,16249,16851,16795,15555,15643,16962
Chester,1974,2120,2083,1989,1956,1928,2027,2101,2131,2115,2126,2121,2073,2065,2094,1834,1849,1997
Clinton,4152,4322,4449,4342,4020,4028,4114,4193,4075,4068,4049,4166,4237,4244,4167,3785,4071,4109
Colchester,3420,3496,3513,3683,3595,3541,3491,3607,3573,3746,3782,3915,3918,3969,3918,3629,3801,3833
Colebrook,182,181,175,185,177,165,171,181,192,194,192,203,218,217,214,169,241,477
Columbia,1083,1075,1098,1116,1075,1022,990,1049,1048,1037,982,934,880,852,1034,992,1037,1092
Cornwall,441,441,471,480,439,454,443,430,417,431,405,429,439,458,409,350,391,427
Coventry,1220,1292,1337,1315,1346,1324,1353,1351,1404,1445,1440,1454,1434,1426,1436,1387,1422,1414
Cromwell,6462,6495,6740,6865,6640,6440,6205,6464,6966,7129,7337,7422,7518,7672,7517,6616,7038,6789
Danbury,43133,43759,43825,43701,40959,40787,41832,42623,43594,44211,44413,44129,44131,43946,43897,40051,41105,41843
Darien,7055,7182,7510,7479,7107,7204,7444,7686,7815,8090,8153,8312,8590,8415,8227,7442,7742,8233
Deep river,1329,1311,1320,1373,1307,1296,1313,1471,1486,1553,1497,1462,1445,1354,1325,1190,1247,1259
Derby,5471,5413,5122,4993,4917,4869,4643,4801,4873,4895,4768,4734,4620,4653,4714,4515,4994,5153
Durham,1766,1836,1794,1798,1758,1885,2006,2130,2161,2145,2182,2289,2254,2291,2417,2354,2506,2577
East granby,3143,3353,3450,3543,3498,3506,3694,3791,3751,3843,3808,3884,4013,3837,3747,3343,3393,3457
East haddam,1445,1455,1504,1451,1372,1405,1413,1407,1429,1456,1414,1421,1464,1448,1458,1227,1384,1448
East hampton,1760,1817,1905,1958,1946,1900,1901,1863,1888,1872,1902,1897,1986,2024,2032,1931,2061,2086
East hartford,29280,31066,29990,29904,28913,28319,28778,28631,28980,29629,30542,30910,32027,33498,34429,30577,30383,30574
East haven,6892,6799,6639,6617,6429,6231,6259,6361,6338,6431,6304,6071,5950,6051,6214,5939,6026,6200
East lyme,5076,5249,5438,5482,5397,5434,5473,5434,5458,5561,5496,5349,5253,5081,5035,4770,5095,5273
East windsor,6868,7253,7210,7094,6784,6776,6735,7307,7071,7095,7222,7134,6996,7035,6762,5976,5934,6096
Eastford,512,573,604,593,483,489,512,535,604,609,626,636,627,628,663,574,643,662
Easton,874,887,884,898,894,862,887,910,914,947,973,944,938,996,977,915,1018,1168
Ellington,2615,2667,2720,2864,2742,2738,2905,3220,3293,3486,3465,3531,3684,3816,3896,3761,3866,4056
Enfield,19302,20126,20475,20167,18922,18501,18683,18629,18422,19038,19204,19083,18794,18463,18045,16962,17233,17331
Essex,3554,3715,3795,3801,3503,3441,3412,3476,3692,3744,3738,3788,3858,3708,3750,3297,3410,3557
Fairfield,23513,24068,24149,24424,22885,23318,23664,23993,24449,25176,25951,26394,25159,25357,25749,22557,23886,25450
Farmington,29440,30627,31153,32398,31377,31625,32099,30199,30938,30647,31136,31750,32223,32266,32138,30131,30316,30802
Franklin,1265,1091,1053,1023,1031,949,977,979,972,958,1043,1091,1129,1260,1245,1181,1220,1253
Glastonbury,15089,15568,16428,16401,15178,15398,15931,16160,16501,16473,16610,16700,17109,17188,17221,15496,16468,17203
Goshen,383,383,386,388,365,351,379,393,397,393,381,436,399,400,386,345,368,408
Granby,2287,2377,2424,2370,2251,2188,2187,2333,2340,2395,2403,2456,2382,2454,2533,2277,2350,2391
Greenwich,34824,35541,36222,36859,35143,35205,34864,34809,34720,34996,35085,35111,34779,34469,33697,30886,32096,33367
Griswold,1910,1972,2040,1957,1695,1693,1728,1291,1345,1328,1357,1389,1405,1493,1510,1380,1449,1527
Groton,26363,25938,25552,26089,25285,25040,25581,25753,25712,25695,26111,26475,27520,28126,28311,27190,27936,28899
Guilford,6612,6732,6831,6892,6572,6576,6734,6817,7188,7270,7440,7751,8085,7960,8012,7044,7873,8386
Haddam,1389,1281,1268,1232,1205,1239,1278,1300,1320,1397,1376,1411,1359,1252,1234,1103,1183,1280
Hamden,20503,20803,20861,20757,20049,19581,19828,20094,20430,20448,20300,20001,20373,20623,20577,18606,19148,20211
Hampton,502,582,178,168,158,142,126,156,158,150,134,122,123,117,224,244,310,272
Hartford,114549,115729,115393,113057,108059,108940,109258,110941,112812,112107,111583,111201,111322,109736,110951,104592,105749,107105
Hartland,142,161,168,172,151,140,143,145,129,115,121,142,132,129,121,107,113,125
Harwinton,676,709,673,610,559,561,561,580,607,586,585,675,720,773,798,672,736,777
