Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Andover,30711,30911,31627,31625,32240,31679,34879,31885,32825,34954,32104,30906,30123,28975,29291,34134,34659,41160
Ansonia,40344,39739,38922,38809,37660,35932,35992,35233,35484,35612,35986,37008,35402,34269,33698,36240,34316,36639
Ashford,28905,30152,30137,32010,32634,31371,30679,31209,32327,32649,33363,33514,33086,33017,34300,36521,35246,35806
Avon,47696,50478,51578,51099,49530,53301,52485,48914,46747,43656,44344,45723,46562,46653,46599,52653,51025,52190
Barkhamsted,36002,35750,35220,33112,38204,29831,29868,28448,38367,40354,42026,43661,43469,38423,37560,38815,35856,36765
Beacon falls,48126,46973,48723,46887,46109,44944,43968,43973,45708,48089,51467,52212,53379,51170,50449,51459,54918,51469
Berlin,51005,51664,54050,55056,55790,53626,52954,52587,52333,52823,52070,52892,52459,50001,50516,54586,52284,54139
Bethany,48984,49156,50287,51949,47757,47874,48585,45758,45337,45829,47036,48738,49666,49689,52225,53825,50012,52787
Bethel,54014,56503,53143,53944,49621,50004,49150,49899,49292,49525,49975,49396,47900,47754,48975,50532,47043,47669
Bethlehem,29649,31127,33213,33298,32553,32535,32079,30327,31081,32249,35603,35550,35659,35794,37579,38991,38177,41915
Bloomfield,67543,65436,68553,66396,66241,69559,70381,70871,72252,72616,74959,73180,69465,68742,69456,70974,65411,63039
Bolton,38673,38613,38244,38409,38647,38345,37128,38071,38072,38802,40962,41885,42828,42445,41330,45206,42684,43463
Bozrah,39893,40956,41748,41554,42830,42939,41628,41089,38909,38172,40249,40453,40690,42033,44009,43829,42420,42540
Branford,44755,45335,46252,45337,44967,44359,42912,42030,41913,42388,42668,41552,41930,41548,43716,46921,45140,47083
Bridgeport,48773,48701,49763,50265,50930,50498,49259,48877,48631,49042,51018,49908,48383,48489,48672,50925,49144,53707
Bridgewater,48792,50937,47687,55461,58668,54308,47176,44373,42937,42503,47053,47264,45353,44803,45400,49682,49790,55631
