Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Andover,4.2,3.4,3.4,4,6.5,7.9,7.1,7.1,6.9,5.8,4.6,4.2,3.5,3.2,3.1,6.8,4.8,3.3
Ansonia,6.1,5.4,5.6,7,9.9,12.1,11.3,10.9,10.3,8.8,7.7,6.4,6.1,5.3,5.1,11.1,9.5,6
Ashford,3.9,3.8,3.9,4.7,6.6,8.6,8.3,8.2,7.4,5.6,4.7,4.5,4.1,3.7,3.1,6.1,4.9,3.7
Avon,3.1,2.9,3,3.6,5.6,6.6,5.9,5.6,5.3,4.5,3.6,3.3,3.1,2.8,2.4,5.3,4.2,3.2
Barkhamsted,4.2,4.2,4,4.7,8.1,9.4,8.2,7.8,6.3,5.4,4.7,4.2,4.3,3.8,3.1,6.2,5.1,3.2
Beacon falls,4.7,4.3,4.4,5.7,8.8,9.9,8.6,7.9,7.2,6.8,5.3,4.7,4.1,3.5,3.4,6.7,5.3,3.7
Berlin,3.9,3.5,3.7,4.6,7.5,8.2,7.7,6.7,6.4,5.5,4.7,4,3.6,3.3,3.1,6.2,5.1,3.5
Bethany,4.3,3.8,3.7,4.7,7.1,7.7,7.2,6.4,6.1,5.8,4.4,3.8,3.6,3.1,2.8,5.7,4.1,3.4
Bethel,3.7,3.2,3.5,4.2,6.4,8.5,7.5,7,6.8,5.4,4.6,4.1,3.7,3.3,3.1,7.5,5.2,3.8
Bethlehem,3.6,3.3,3.3,4.3,7.4,9,7.9,7.3,6.5,6.4,5.1,4.9,4.7,3.6,3.5,6.2,5.2,4.3
Bloomfield,5.9,5.4,5.3,6.4,9,10,9.2,8.9,8.3,6.8,6,5.1,4.9,4,3.8,8.2,6.7,4.6
Bolton,3.7,3.2,3.2,4.2,6.6,7.1,6.7,6,5.8,4.5,4.1,3.6,3.3,2.6,2.6,5.1,4.6,3.1
Bozrah,4.8,4.6,4.6,5.2,7.2,8.6,7.6,8.4,8,6.6,5.3,4.3,4,3.6,3,7.9,5.8,3.3
Branford,4,3.5,3.9,4.8,6.9,8.9,8.4,7.8,7.1,5.9,5.2,4.4,3.9,3.4,3.2,6.9,5.3,3.5
Bridgeport,7.7,6.9,7.1,8.7,12.3,13.2,12.8,11.8,11.4,9.7,8.3,7.2,6.5,5.7,5.3,12,9.8,5.9
Bridgewater,3,2.7,3,3.7,6.2,7.5,7.1,5.9,6.5,6.1,4.2,3.3,3.6,3.1,3.2,6.4,4.9,4.1
Bristol,5.4,4.9,5.1,6.1,9.1,10.8,9.7,8.9,8.6,7.3,6.4,5.3,4.9,4.3,4.1,8.6,7.1,4.7
Brookfield,3.5,3.3,3.5,4.4,7.1,8,7,6.7,6.4,5.2,4.3,3.9,3.6,3.3,3.2,7.3,5.4,3.6
Brooklyn,4.4,4.6,5.2,6.6,9.6,10.2,9.6,9.1,8.5,7.4,5.8,4.9,4.5,3.8,3.5,7.4,5.7,4.3
Burlington,3.7,3.3,3.5,4.3,6.6,7.6,7.3,6.4,5.8,4.8,4.4,4,3.4,3,2.8,5.6,4.9,3.4
Canaan,4,3.8,3.6,4.6,7.2,7,7.5,5.9,4.6,4.5,3,2.8,2.8,2.7,2.1,6,4.6,3
Canterbury,4.9,4.7,4.5,5.7,7.6,9.8,8.9,8.8,8,7.2,5.8,5,4.2,3.7,3.1,7.4,5.8,3.9
Canton,3.5,3,3.1,3.9,6.3,8.1,7,5.8,6,4.9,4,3.6,3.3,3,2.8,5.7,4.8,3.4
Chaplin,4.5,4.7,4.4,5.5,7.5,9,9,8.5,7.7,7,6.1,5.4,4.8,4.3,3.6,7.8,6.9,4
Cheshire,3.9,3.5,3.7,4.4,6.4,6.8,6.7,5.9,5.7,4.8,3.8,3.5,3.1,2.8,2.4,5.2,4.1,3
Chester,3.5,3,3.3,4.1,6.6,7.2,6.5,5.7,5.8,4.7,3.8,3.6,3.4,2.8,2.9,6.2,4.7,3.1
Clinton,4.2,3.6,3.8,4.6,6.7,8.6,8,7.3,6.7,5.5,4.6,3.8,3.7,3.2,3.1,6.8,4.9,3.3
