Address,Town,State,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15
10 CASTLE HILL ROAD,Bethel,CT,,,,,,,,,,,,
49 ROSE ST TOWERS UNIT 402,Branford,CT,,,,,,,,,,,,
3 GROVE CT,Branford,CT,,,,,,,,,,,,
27 CROWS NEST LA 6A,Danbury,CT,,,,,,,,,,,,
HAMLET B03UF,Enfield,CT,,,,,,,,,,,,
34 PRATT #A,Essex,CT,,,,,,,,,,,,
15 WINDMILL DR,Granby,CT,,,,,,,,,,,,
2350000,Greenwich,CT,,,,,,,,,,,,
15 SHOAL POINT ROAD,Greenwich,CT,,,,,,,,,,,,
33 RUSSEL STREET UNIT 10,Griswold,CT,,,,,,,,,,,,
42 SAWMILL BROOK RD,Mansfield,CT,,,,,,,,,,,,
209 BLACKSTONE VLG,Meriden,CT,,,,,,,,,,,,
30 LA MIRAGE,Meriden,CT,,,,,,,,,,,,
6006 MEETINGHOUSE VLG,Meriden,CT,,,,,,,,,,,,
1691 ROUTE 32 UNIT E6,Montville,CT,,,,,,,,,,,,
184 PEQUOT AVE UNIT 103,New London,CT,,,,,,,,,,,,
17 NARRAGANSSET TRAIL,Newtown,CT,,,,,,,,,,,,
2 TERRY LN UNIT 2,Norwalk,CT,,,,,,,,,,,,
2 SOUTH MAIN ST UNIT W201,Norwalk,CT,,,,,,,,,,,,
11 BEDFORD AVE UNIT J1,Norwalk,CT,,,,,,,,,,,,
175 FERRY RD UNIT 9,Old Saybrook,CT,,,,,,,,,,,,
492 EAST ST B-36,Plainville,CT,,,,,,,,,,,,
63 GREYSTONE ON THE LAKE,Shelton,CT,,,,,,,,,,,,
165 SEASIDE AVENUE #2,Stamford,CT,,,,,,,,,,,,
3 DEAN STREET #B-2,Stamford,CT,,,,,,,,,,,,
37 GOOSEBERRY DR,Suffield,CT,,,,,,,,,,,,
3 BRADLEY WAY,Thomaston,CT,,,,,,,,,,,,
245 CHERRY AVE A24,Watertown,CT,,,,,,,,,,,,
