OBJECTID,BOUNDARY,LEGEND,DATA_SRC,Shape__Length
1,Town,Town,MA,13734.0979596639
2,Town,Town,MA,6572.27416904776
3,Town,Town,MA,1154.1049481845
4,County,Town,MA,29616.4767168952
5,County,Town,MA,9737.67292063581
6,Town,Town,MA,10972.3604278357
7,Town,Town,MA,9744.49347515824
8,County,Town,MA,26944.447191348
9,Town,Town,MA,11669.8823915539
10,County,Town,MA,13430.3793593169
11,Town,Town,MA,17067.6971612427
12,Town,Town,MA,19218.8029610365
13,Town,Town,MA,20251.7464455555
14,Town,Town,MA,16809.1061461917
15,Town,Town,MA,10144.9203576073
16,Town,Town,MA,36406.1774313284
17,Town,Town,MA,20253.3508890723
18,Town,Town,MA,28165.5932208333
19,Town,Town,MA,4673.39286811706
20,Town,Town,MA,26448.9577076088
21,Town,Town,MA,10015.3096538066
22,Town,Town,MA,7948.74682633168
23,Town,Town,MA,13838.4735756094
24,Town,Town,MA,13514.657063099
25,Town,Town,NY,20796.913363427
26,Town,Town,MA,4488.98201910752
27,Town,Town,MA,23499.1117516362
28,County,Town,MA,22844.566986932
29,Town,Town,MA,3505.81844206755
30,Town,Town,MA,11740.8468256004
31,Town,Town,MA,12065.6905861738
32,Town,Town,MA,41366.9630999557
33,Town,Town,MA,29703.4830202545
34,Town,Town,MA,1622.14379162002
35,State,State,NY,12110.0370384128
36,Town,Town,NY,41415.2387635341
37,Town,Town,MA,10318.7586002194
38,Town,Town,MA,24354.1343656542
39,Town,Town,MA,31680.7535653462
40,Town,Town,MA,19066.4370399259
41,Town,Town,MA,37742.5583629705
42,Town,Town,MA,9862.5631080823
43,Town,Town,MA,24072.2025364808
44,Town,Town,MA,20776.5421457689
45,Town,Town,MA,27147.3045928746
46,Town,Town,MA,12238.7273307332
47,Town,Town,MA,12828.0219660694
48,Town,Town,MA,25237.4217145372
49,Town,Town,MA,29863.2083999361
50,County,Town,MA,16866.459661542
51,Town,Town,MA,19955.4039548896
52,County,Town,NY,6363.76520769872
53,County,Town,NY,11331.1812869356
54,Town,Town,NY,8879.64936082025
55,Town,Town,NY,37310.4141885616
56,County,Town,MA,20592.8963235291
57,County,Town,MA,22473.0518495347
58,Town,Town,MA,14220.0524150514
59,Town,Town,MA,23316.0893025593
60,County,Town,MA,5522.85382003494
61,Town,Town,MA,16115.4298843599
62,Town,Town,MA,29667.1926133362
63,Town,Town,MA,7017.08129333249
64,Town,Town,MA,4335.47532665455
65,Town,Town,NY,30311.3495857986
66,Town,Town,MA,6576.99778894133
67,Town,Town,MA,1350.88196353618
68,Town,Town,NY,38792.6850295201
69,Town,Town,MA,21742.9957893284
70,County,Town,MA,37344.4681486289
71,Town,Town,MA,24644.0870554733
72,County,Town,MA,28398.281192971
73,County,Town,MA,5502.78061178136
74,Town,Town,MA,13014.890712946
75,Town,Town,MA,25562.2159274051
76,Town,Town,NJ,4099.17685466409
77,Town,Town,NJ,1849.32702648454
78,Town,Town,NJ,5409.9002903909
79,State,State,NJ,6106.20819990732
80,Town,Town,NJ,5445.21449225799
81,Town,Town,NJ,15746.9023806723
82,Town,Town,NJ,4903.22446309207
83,Town,Town,CT,47820.0134477016
84,State,State,NJ,11046.430184863
85,State,State,CT,33258.6540845611
86,Town,Town,NJ,7257.00064284395
87,Town,Town,NJ,18318.6110439488
88,Town,Town,NY,16102.4154190148
89,Town,Town,NJ,1492.77052511077
90,Town,Town,NJ,16573.201642619
91,State,State,NJ,6405.48086049464
92,Town,Town,NJ,4415.88935571158
93,Town,Town,NJ,17652.6743242508
94,Town,Town,NJ,1918.01689451931
95,Town,Town,NJ,3734.23691805267
96,Town,Town,NJ,3175.36005637481
97,State,State,NJ,5545.13399739166
98,Town,Town,NJ,8779.28249171286
99,Town,Town,NJ,5932.92650046218
100,Town,Town,NJ,9476.24928347144
101,County,Town,NY,26887.3652382031
102,State,State,NJ,6155.39835113707
103,Town,Town,NJ,28952.655345277
104,Town,Town,NJ,7212.89980960254
105,Town,Town,NJ,10101.5092347589
106,Town,Town,NY,56854.1417220608
107,Town,Town,NJ,9651.99696418383
108,Town,Town,NJ,4666.17890096067
109,Town,Town,NJ,4770.47881069813
110,Town,Town,NJ,5688.67124698632
111,Town,Town,NJ,2803.99932815028
112,Town,Town,NJ,13905.1177485737
113,Town,Town,NY,15007.8727036314
114,Town,Town,NY,214.857729078472
115,Town,Town,NJ,9658.94170316854
116,Town,Town,NY,6233.80549574961
117,Town,Town,NJ,10335.5797080876
118,Town,Town,NJ,4338.99376546
119,Town,Town,NY,35705.8398234143
