Town,Year,Crime Type,Number of Crimes Committed,"Number of Crimes Committed per 100,000",Crime ID,State,geometry
Andover,2010,Total Crime,35.0,1098.6,0,CT,POINT (-72.37036 41.7373212)
Andover,2010,Total Violent Crime,1.0,31.4,1,CT,POINT (-72.37036 41.7373212)
Andover,2010,Total Property Crime,34.0,1067.2,2,CT,POINT (-72.37036 41.7373212)
Andover,2010,Aggravated Assault,0.0,0.0,3,CT,POINT (-72.37036 41.7373212)
Andover,2010,Murder,0.0,0.0,4,CT,POINT (-72.37036 41.7373212)
Andover,2010,Rape,0.0,0.0,5,CT,POINT (-72.37036 41.7373212)
Andover,2010,Robbery,1.0,31.4,6,CT,POINT (-72.37036 41.7373212)
Andover,2010,Burglary,16.0,502.2,7,CT,POINT (-72.37036 41.7373212)
Andover,2010,Larceny,17.0,533.6,8,CT,POINT (-72.37036 41.7373212)
Andover,2010,Motor Vehicle Theft,1.0,31.4,9,CT,POINT (-72.37036 41.7373212)
Andover,2010,Arson,1.0,31.4,10,CT,POINT (-72.37036 41.7373212)
Andover,2011,Total Crime,26.0,814.5,11,CT,POINT (-72.37036 41.7373212)
Andover,2011,Total Violent Crime,1.0,31.3,12,CT,POINT (-72.37036 41.7373212)
Andover,2011,Total Property Crime,25.0,783.2,13,CT,POINT (-72.37036 41.7373212)
Andover,2011,Aggravated Assault,0.0,0.0,14,CT,POINT (-72.37036 41.7373212)
Andover,2011,Murder,0.0,0.0,15,CT,POINT (-72.37036 41.7373212)
Andover,2011,Rape,0.0,0.0,16,CT,POINT (-72.37036 41.7373212)
Andover,2011,Robbery,1.0,31.3,17,CT,POINT (-72.37036 41.7373212)
Andover,2011,Burglary,18.0,563.9,18,CT,POINT (-72.37036 41.7373212)
Andover,2011,Larceny,6.0,188.0,19,CT,POINT (-72.37036 41.7373212)
Andover,2011,Motor Vehicle Theft,1.0,31.3,20,CT,POINT (-72.37036 41.7373212)
Andover,2011,Arson,0.0,0.0,21,CT,POINT (-72.37036 41.7373212)
Andover,2012,Total Crime,15.0,468.6,22,CT,POINT (-72.37036 41.7373212)
Andover,2012,Total Violent Crime,4.0,125.0,23,CT,POINT (-72.37036 41.7373212)
Andover,2012,Total Property Crime,11.0,343.6,24,CT,POINT (-72.37036 41.7373212)
Andover,2012,Aggravated Assault,0.0,0.0,25,CT,POINT (-72.37036 41.7373212)
Andover,2012,Murder,0.0,0.0,26,CT,POINT (-72.37036 41.7373212)
Andover,2012,Rape,2.0,62.5,27,CT,POINT (-72.37036 41.7373212)
Andover,2012,Robbery,2.0,62.5,28,CT,POINT (-72.37036 41.7373212)
Andover,2012,Burglary,4.0,125.0,29,CT,POINT (-72.37036 41.7373212)
Andover,2012,Larceny,6.0,187.4,30,CT,POINT (-72.37036 41.7373212)
Andover,2012,Motor Vehicle Theft,1.0,31.2,31,CT,POINT (-72.37036 41.7373212)
Andover,2012,Arson,0.0,0.0,32,CT,POINT (-72.37036 41.7373212)
Andover,2013,Total Crime,14.0,436.8,33,CT,POINT (-72.37036 41.7373212)
Andover,2013,Total Violent Crime,2.0,62.4,34,CT,POINT (-72.37036 41.7373212)
Andover,2013,Total Property Crime,12.0,374.4,35,CT,POINT (-72.37036 41.7373212)
Andover,2013,Aggravated Assault,1.0,31.2,36,CT,POINT (-72.37036 41.7373212)
Andover,2013,Murder,0.0,0.0,37,CT,POINT (-72.37036 41.7373212)
Andover,2013,Rape,1.0,31.2,38,CT,POINT (-72.37036 41.7373212)
Andover,2013,Robbery,0.0,0.0,39,CT,POINT (-72.37036 41.7373212)
Andover,2013,Burglary,7.0,218.4,40,CT,POINT (-72.37036 41.7373212)
Andover,2013,Larceny,4.0,124.8,41,CT,POINT (-72.37036 41.7373212)
Andover,2013,Motor Vehicle Theft,1.0,31.2,42,CT,POINT (-72.37036 41.7373212)
Andover,2013,Arson,1.0,31.2,43,CT,POINT (-72.37036 41.7373212)
Andover,2014,Total Crime,24.0,749.3,44,CT,POINT (-72.37036 41.7373212)
Andover,2014,Total Violent Crime,0.0,0.0,45,CT,POINT (-72.37036 41.7373212)
Andover,2014,Total Property Crime,24.0,749.3,46,CT,POINT (-72.37036 41.7373212)
Andover,2014,Aggravated Assault,0.0,0.0,47,CT,POINT (-72.37036 41.7373212)
Andover,2014,Murder,0.0,0.0,48,CT,POINT (-72.37036 41.7373212)
Andover,2014,Rape,0.0,0.0,49,CT,POINT (-72.37036 41.7373212)
Andover,2014,Robbery,0.0,0.0,50,CT,POINT (-72.37036 41.7373212)
Andover,2014,Burglary,16.0,499.5,51,CT,POINT (-72.37036 41.7373212)
Andover,2014,Larceny,7.0,218.5,52,CT,POINT (-72.37036 41.7373212)
Andover,2014,Motor Vehicle Theft,1.0,31.2,53,CT,POINT (-72.37036 41.7373212)
Andover,2014,Arson,0.0,0.0,54,CT,POINT (-72.37036 41.7373212)
Andover,2015,Total Crime,10.0,312.5,55,CT,POINT (-72.37036 41.7373212)
Andover,2015,Total Violent Crime,1.0,31.2,56,CT,POINT (-72.37036 41.7373212)
Andover,2015,Total Property Crime,9.0,281.2,57,CT,POINT (-72.37036 41.7373212)
Andover,2015,Aggravated Assault,0.0,0.0,58,CT,POINT (-72.37036 41.7373212)
Andover,2015,Murder,1.0,31.2,59,CT,POINT (-72.37036 41.7373212)
Andover,2015,Rape,0.0,0.0,60,CT,POINT (-72.37036 41.7373212)
Andover,2015,Robbery,0.0,0.0,61,CT,POINT (-72.37036 41.7373212)
Andover,2015,Burglary,3.0,93.8,62,CT,POINT (-72.37036 41.7373212)
Andover,2015,Larceny,4.0,125.0,63,CT,POINT (-72.37036 41.7373212)
Andover,2015,Motor Vehicle Theft,2.0,62.5,64,CT,POINT (-72.37036 41.7373212)
Andover,2015,Arson,0.0,0.0,65,CT,POINT (-72.37036 41.7373212)
Andover,2016,Total Crime,4.0,125.3,66,CT,POINT (-72.37036 41.7373212)
