Town,List Year,Avg Assessed Value,Avg Sale Amount,Avg Sales Ratio,Avg Total Crimes,"Avg Crimes per 100,000",Avg Number of Schools,Avg Number of Healthcare facilities,Avg Houses Sold (Condo),Avg Condo Assessed Value,Avg Condo Sale Amount,Avg Condo Sale Ratio,Avg Houses Sold (Single),Avg Single Family Assessed Value,Avg Single Family Sale Amount,Avg Single Family Sale Ratio,geometry
Hamden,2010,159365.67,197088.4,0.93,4177.59,634.83,9.0,11.0,15.0,125896.0,167860.0,0.82,66.0,166972.41,203731.21,0.96,POINT(-72.8968574 41.3959302)
Killingly,2015,108237.74,166847.74,0.76,427.54,224.36,0.0,0.0,9.0,84101.11,112238.89,1.04,84.0,110823.81,172698.69,0.73,POINT(-71.8795925 41.8430634)
Chaplin,2011,139233.33,160800.0,0.86,71.0,272.92,1.0,0.0,0.0,0.0,0.0,0.0,3.0,139233.33,160800.0,0.86,POINT(-72.1272989 41.7948205)
Windsor,2010,148635.67,201406.37,0.77,1521.38,466.2,5.0,2.0,12.0,126915.83,177156.83,0.77,48.0,154065.63,207468.75,0.77,POINT(-72.6437022 41.8525984)
Newington,2013,146068.21,212981.56,0.72,2295.26,674.91,7.0,4.0,21.0,148232.62,219521.86,0.73,49.0,145140.61,210178.57,0.72,POINT(-72.7237063 41.6978777)
Marlborough,2010,233076.88,285726.56,0.85,145.5,220.57,1.0,2.0,1.0,163730.0,204500.0,0.8,15.0,237700.0,291141.67,0.85,POINT(-72.459808 41.631488)
Colchester,2010,168467.65,218504.26,0.83,429.47,255.4,4.0,1.0,8.0,135900.0,181480.63,0.8,26.0,178488.46,229896.15,0.84,POINT(-72.3320269 41.5756543)
Andover,2013,188542.86,262214.29,0.71,67.86,192.58,1.0,0.0,0.0,0.0,0.0,0.0,7.0,188542.86,262214.29,0.71,POINT(-72.37036 41.7373212)
Stonington,2016,267678.76,422152.98,0.88,786.46,379.47,1.0,0.0,15.0,234340.0,266669.07,1.23,72.0,274624.33,454545.46,0.81,POINT(-71.9059042 41.3359327)
Canterbury,2016,138900.0,207487.5,0.67,82.13,151.25,2.0,0.0,0.0,0.0,0.0,0.0,8.0,138900.0,207487.5,0.67,POINT(-71.9710811 41.6984209)
Woodstock,2012,173702.61,218340.35,0.93,135.48,161.67,2.0,0.0,1.0,82000.0,114500.0,0.72,22.0,177870.91,223060.36,0.94,POINT(-71.9739626 41.9484307)
East Granby,2014,187609.09,252679.55,0.83,146.45,266.24,4.0,0.0,1.0,211300.0,325000.0,0.65,21.0,186480.95,249235.71,0.84,POINT(-72.7273158 41.9412081)
Killingworth,2010,202810.0,217500.65,0.97,95.82,137.67,0.0,0.0,0.0,0.0,0.0,0.0,17.0,202810.0,217500.65,0.97,POINT(-72.5637023 41.3581545)
Hebron,2013,176244.23,243657.15,0.83,106.46,106.55,2.0,0.0,3.0,163613.33,222700.0,0.77,23.0,177891.74,246390.7,0.83,POINT(-72.3659161 41.6578767)
Marlborough,2014,182591.82,241323.45,0.82,71.32,107.73,1.0,2.0,3.0,145950.0,211000.0,0.69,19.0,188377.37,246111.37,0.84,POINT(-72.459808 41.631488)
Morris,2013,211618.57,259214.29,0.91,42.0,157.24,0.0,0.0,0.0,0.0,0.0,0.0,7.0,211618.57,259214.29,0.91,POINT(-73.1962245 41.6842633)
Lisbon,2009,162458.57,196228.57,0.84,318.0,677.02,1.0,0.0,0.0,0.0,0.0,0.0,7.0,162458.57,196228.57,0.84,POINT(-72.0207809 41.5866851)
