Credential ID,Name,Type,Business Name,DBA,Full Credential Code,Credential,Status,Issue Date,Effective Date,Expiration Date,Address,City,Zip Code,Location,Healthcare ID
1003908,ATRIA LARSON PLACE,LIMITED LIABILITY COMPANY,ATRIA LARSON PLACE,ATRIA LARSON PLACE,ALSA.0000161,Assisted Living Service Agency,ACTIVE,06/22/2011,01-04-2023,03/31/2025,1450 WHITNEY AVE,HAMDEN,6517,POINT (-72.914399017 41.353448015),0
930911,MAEFAIR HEALTH CARE CENTER,CORPORATION,MAEFAIR HEALTH CARE CENTER,MAEFAIR HEALTH CARE CENTER,CCNH.002142C,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,01-04-2010,01-04-2022,03/31/2024,21 MAEFAIR CT,TRUMBULL,6611,POINT (-73.193932973 41.236809013),1
1438188,NEW LONDON SUB-ACUTE AND NURSING,LIMITED LIABILITY COMPANY,NEW LONDON SUB-ACUTE AND NURSING,NEW LONDON SUB-ACUTE AND NURSING,CCNH.0002440,Chronic & Convalescent Nursing Home,ACTIVE,06/30/2017,01-04-2023,03/31/2025,90 CLARK LN,WATERFORD,6385,POINT (-72.128489982 41.349084019),2
2246023,SEAPORT DERMATOLOGY MOHS SURGERY CENTER,BUSINESS,SEAPORT DERMATOLOGY MOHS SURGERY CENTER,SEAPORT DERMATOLOGY MOHS SURGERY CENTER,CLAB.0000961,Clinical Laboratory,ACTIVE,12/14/2006,01-04-2023,03/31/2025,34 WATER ST STE 2,MYSTIC,6355,POINT (-71.97226497 41.350290008),3
2251669,SAINT MARY'S HOSPITAL LABORATORY,NON-PROFIT CORPORATION,SAINT MARY'S HOSPITAL LABORATORY,SAINT MARY'S HOSPITAL LABORATORY,CLAB.00HP249,Clinical Laboratory,ACTIVE IN RENEWAL,12/31/1999,01-04-2022,03/31/2024,56 FRANKLIN ST,WATERBURY,6706,POINT (-73.036682016 41.552820006),4
930936,AVERY NURSING HOME/NOBLE BUILDING,CORPORATION,AVERY NURSING HOME/NOBLE BUILDING,AVERY NURSING HOME/NOBLE BUILDING,CCRH.000750C,Chronic & Convalescent Nursing Homes and Rest Home with Nursing Supervision,ACTIVE,01-10-2009,01-10-2023,09/30/2025,705 NEW BRITAIN AVE,HARTFORD,6106,POINT (-72.706348027 41.730159997),5
930655,ST. JOSEPH'S LIVING CENTER INC.,NON-PROFIT CORPORATION,ST. JOSEPH'S LIVING CENTER INC.,"ST. JOSEPH'S LIVING CENTER, INC.",CCNH.002039C,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,01-04-2008,01-04-2022,03/31/2024,14 CLUB RD,WINDHAM,6280,POINT (-72.187191971 41.714968007),6
2394823,PENDLETON REHABILITATION AND NURSING CENTER,BUSINESS,PENDLETON REHABILITATION AND NURSING CENTER,PENDLETON REHABILITATION AND NURSING CENTER,CCNH.0002474,Chronic & Convalescent Nursing Home,ACTIVE,01-09-2022,01-09-2022,06/30/2024,44 MARITIME DRIVE,MYSTIC,6355,POINT (-71.952417964 41.369396011),7
2244604,SMILOW - ORANGE,CORPORATION,SMILOW - ORANGE,SMILOW - ORANGE,CLAB.0000916,Clinical Laboratory,ACTIVE,06/22/2004,01-07-2022,06/30/2024,"240 INDIAN RIVER RD. BLDG-A, STE A1",ORANGE,6477,POINT (-73.000449982 41.26422999),8
2245249,LABORATORY CORPORATION OF AMERICA HOLDINGS,CORPORATION,LABORATORY CORPORATION OF AMERICA HOLDINGS,LABORATORY CORPORATION OF AMERICA HOLDINGS,CLAB.0000990,Clinical Laboratory,ACTIVE,10/24/2019,01-10-2023,09/30/2025,2 1/2 DEARFIELD DR FL 1,GREENWICH,6831,POINT (-73.631545014 41.028055996),9
1324543,VILLAGE GREEN OF BRISTOL REHABILITATION AND HEALTH CENTER,LIMITED LIABILITY COMPANY,VILLAGE GREEN OF BRISTOL REHABILITATION AND HEALTH CENTER,VILLAGE GREEN OF BRISTOL REHABILITATION AND HEALTH CENTER,CCNH.0002416,Chronic & Convalescent Nursing Home,ACTIVE,09-12-2015,01-10-2023,09/30/2025,23 FAIR ST,FORESTVILLE,6010,POINT (-72.902569667 41.679887355),10
2245564,YALE IN-VITRO FERTILIZATION LABORATORY,NON-PROFIT CORPORATION,YALE IN-VITRO FERTILIZATION LABORATORY,YALE IN-VITRO FERTILIZATION LABORATORY,CLAB.0001007,Clinical Laboratory,ACTIVE IN RENEWAL,06-03-2020,01-04-2022,06/30/2024,200 W CAMPUS DR FL 2,ORANGE,6477,POINT (-72.996453993 41.253591008),11
930202,LIVEWELL CONNECTICUT,CORPORATION,LIVEWELL CONNECTICUT,LIVEWELL CONNECTICUT,ALSA.0000048,Assisted Living Service Agency,ACTIVE IN RENEWAL,01-01-2008,01-01-2022,12/31/2023,1261 S MAIN ST,PLANTSVILLE,6479,POINT (-72.894482023 41.573280986),12
1625723,ESSEX MEADOWS HEALTH CENTER,LIMITED LIABILITY COMPANY,ESSEX MEADOWS HEALTH CENTER,ESSEX MEADOWS HEALTH CENTER,CCNH.0002450,Chronic & Convalescent Nursing Home,ACTIVE,01/14/2019,01-10-2022,09/30/2024,30 BOKUM RD,ESSEX,6426,POINT (-72.412278006 41.33476798),13
930652,"GLASTONBURY HEALTH CARE CENTER, INC.",LIMITED LIABILITY COMPANY,"GLASTONBURY HEALTH CARE CENTER, INC.","GLASTONBURY HEALTH CARE CENTER, INC.",CCNH.002028C,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,01-07-2009,01-07-2021,06/30/2023,1175 HEBRON AVE,GLASTONBURY,6033,POINT (-72.566463031 41.71936201),14
