Credential ID,Name,Type,Business Name,DBA,Full Credential Code,Credential Type,Credential Number,Credential Subcategory,Credential,Status,Status Reason,Active,Issue Date,Effective Date,Expiration Date,Address,City,State,Zip Code,Date Record Refreshed ,Location
1003908,ATRIA LARSON PLACE,LIMITED LIABILITY COMPANY,ATRIA LARSON PLACE,ATRIA LARSON PLACE,ALSA.0000161,ALSA,161,,Assisted Living Service Agency,ACTIVE,CURRENT,1,06/22/2011 12:00:00 AM,04/01/2023 12:00:00 AM,03/31/2025 12:00:00 AM,1450 WHITNEY AVE,HAMDEN,CT,65172451,03/30/2023 12:00:00 AM,POINT (-72.914399017 41.353448015)
2559220,SUFFIELD ALF OPERATIONS,LIMITED LIABILITY COMPANY,SUFFIELD ALF OPERATIONS,SUFFIELD ALF OPERATIONS,ALSA,ALSA,,,Assisted Living Service Agency,PENDING,ABCMS REVIEW,0,,,,1 CANAL RD,SUFFIELD,CT,60781921,01/23/2024 12:00:00 AM,POINT (-72.611695972 41.983567016)
969270,YALE UNIVERSITY,CORPORATION,YALE UNIVERSITY,,ASC,ASC,,,Out-Patient Surgical Facility,INACTIVE,,0,,,,55 LOCK ST,NEW HAVEN,CT,65113603,10/14/2010 12:00:00 AM,POINT (-72.927940422 41.315469274)
930911,MAEFAIR HEALTH CARE CENTER,CORPORATION,MAEFAIR HEALTH CARE CENTER,MAEFAIR HEALTH CARE CENTER,CCNH.002142C,CCNH,2142C,,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,CURRENT,1,04/01/2010 12:00:00 AM,04/01/2022 12:00:00 AM,03/31/2024 12:00:00 AM,21 MAEFAIR CT,TRUMBULL,CT,66114871,03/08/2023 12:00:00 AM,POINT (-73.193932973 41.236809013)
929688,"BRUCATO PLASTIC SURGERY CENTER, LLC",LIMITED LIABILITY COMPANY,"BRUCATO PLASTIC SURGERY CENTER, LLC","BRUCATO PLASTIC SURGERY CENTER, LLC",ASC.0000313,ASC,313,,Out-Patient Surgical Facility,CLOSED,CLOSED,0,10/01/2009 12:00:00 AM,10/01/2017 12:00:00 AM,09/30/2019 12:00:00 AM,38 GROVE ST # B,RIDGEFIELD,CT,68774030,11/06/2017 12:00:00 AM,POINT (-73.49291898 41.287077005)
1438188,NEW LONDON SUB-ACUTE AND NURSING,LIMITED LIABILITY COMPANY,NEW LONDON SUB-ACUTE AND NURSING,NEW LONDON SUB-ACUTE AND NURSING,CCNH.0002440,CCNH,2440,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,06/30/2017 12:00:00 AM,04/01/2023 12:00:00 AM,03/31/2025 12:00:00 AM,90 CLARK LN,WATERFORD,CT,63852118,12/15/2023 12:00:00 AM,POINT (-72.128489982 41.349084019)
2246023,SEAPORT DERMATOLOGY MOHS SURGERY CENTER,BUSINESS,SEAPORT DERMATOLOGY MOHS SURGERY CENTER,SEAPORT DERMATOLOGY MOHS SURGERY CENTER,CLAB.0000961,CLAB,961,,Clinical Laboratory,ACTIVE,CURRENT,1,12/14/2006 12:00:00 AM,04/01/2023 12:00:00 AM,03/31/2025 12:00:00 AM,34 WATER ST STE 2,MYSTIC,CT,63552524,02/08/2023 12:00:00 AM,POINT (-71.97226497 41.350290008)
2251669,SAINT MARY'S HOSPITAL LABORATORY,NON-PROFIT CORPORATION,SAINT MARY'S HOSPITAL LABORATORY,SAINT MARY'S HOSPITAL LABORATORY,CLAB.00HP249,CLAB,HP249,,Clinical Laboratory,ACTIVE IN RENEWAL,ACTIVE,1,12/31/1999 12:00:00 AM,04/01/2022 12:00:00 AM,03/31/2024 12:00:00 AM,56 FRANKLIN ST,WATERBURY,CT,6706,11/29/2023 12:00:00 AM,POINT (-73.036682016 41.552820006)
930936,AVERY NURSING HOME/NOBLE BUILDING,CORPORATION,AVERY NURSING HOME/NOBLE BUILDING,AVERY NURSING HOME/NOBLE BUILDING,CCRH.000750C,CCRH,750C,,Chronic & Convalescent Nursing Homes and Rest Home with Nursing Supervision,ACTIVE,CURRENT,1,10/01/2009 12:00:00 AM,10/01/2023 12:00:00 AM,09/30/2025 12:00:00 AM,705 NEW BRITAIN AVE,HARTFORD,CT,61064039,01/17/2024 12:00:00 AM,POINT (-72.706348027 41.730159997)
930655,ST. JOSEPH'S LIVING CENTER INC.,NON-PROFIT CORPORATION,ST. JOSEPH'S LIVING CENTER INC.,"ST. JOSEPH'S LIVING CENTER, INC.",CCNH.002039C,CCNH,2039C,,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,CURRENT,1,04/01/2008 12:00:00 AM,04/01/2022 12:00:00 AM,03/31/2024 12:00:00 AM,14 CLUB RD,WINDHAM,CT,62801000,10/27/2023 12:00:00 AM,POINT (-72.187191971 41.714968007)
929564,PEGASUS MANAGEMENT COMPANY INC.,BUSINESS,PEGASUS MANAGEMENT COMPANY INC.,OLYMPUS HEALTHCARE CENTER-WATERBURY,CCNH.002150C,CCNH,2150C,,Chronic & Convalescent Nursing Home,INACTIVE,,0,10/01/2000 12:00:00 AM,10/01/2000 12:00:00 AM,09/30/2002 12:00:00 AM,1312 West Main Street,WATERBURY,CT,6708,05/18/2010 12:00:00 AM,POINT (-73.06570402 41.551447009)
930772,COURTLAND GARDENS HEALTH CENTER INC,BUSINESS,COURTLAND GARDENS HEALTH CENTER INC,COURTLAND GARDENS HEALTH CARE CENTER,CCNH.001084C,CCNH,1084C,,Chronic & Convalescent Nursing Home,CLOSED,CLOSED,0,10/01/2009 12:00:00 AM,10/01/2009 12:00:00 AM,09/30/2011 12:00:00 AM,53 Courtland Avenue,STAMFORD,CT,6902,01/20/2011 12:00:00 AM,POINT (-73.51256197 41.060685991)
2394823,PENDLETON REHABILITATION AND NURSING CENTER,BUSINESS,PENDLETON REHABILITATION AND NURSING CENTER,PENDLETON REHABILITATION AND NURSING CENTER,CCNH.0002474,CCNH,2474,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,09/01/2022 12:00:00 AM,09/01/2022 12:00:00 AM,06/30/2024 12:00:00 AM,44 MARITIME DRIVE,MYSTIC,CT,6355,01/27/2023 12:00:00 AM,POINT (-71.952417964 41.369396011)
930527,HEALTH CARE VENTURES INC.,BUSINESS,HEALTH CARE VENTURES INC.,CRESCENT MANOR,CCNH.002156C,CCNH,2156C,,Chronic & Convalescent Nursing Home,INACTIVE,,0,10/01/2008 12:00:00 AM,10/01/2008 12:00:00 AM,09/30/2010 12:00:00 AM,1243 West Main Street,WATERBURY,CT,6708,05/18/2010 12:00:00 AM,POINT (-73.063373013 41.552463985)
1294766,ORANGE HEALTH CARE CENTER,BUSINESS,ORANGE HEALTH CARE CENTER,ORANGE HEALTH CARE CENTER,CCNH.0002412,CCNH,2412,,Chronic & Convalescent Nursing Home,INACTIVE,INACTIVE,0,06/17/2015 12:00:00 AM,04/01/2018 12:00:00 AM,03/31/2020 12:00:00 AM,225 BOSTON POST RD,ORANGE,CT,64773208,10/16/2018 12:00:00 AM,POINT (-72.998537986 41.269834005)
2244604,SMILOW - ORANGE,CORPORATION,SMILOW - ORANGE,SMILOW - ORANGE,CLAB.0000916,CLAB,916,,Clinical Laboratory,ACTIVE,CURRENT,1,06/22/2004 12:00:00 AM,07/01/2022 12:00:00 AM,06/30/2024 12:00:00 AM,"240 INDIAN RIVER RD. BLDG-A, STE A1",ORANGE,CT,6477,11/07/2022 12:00:00 AM,POINT (-73.000449982 41.26422999)
2245249,LABORATORY CORPORATION OF AMERICA HOLDINGS,CORPORATION,LABORATORY CORPORATION OF AMERICA HOLDINGS,LABORATORY CORPORATION OF AMERICA HOLDINGS,CLAB.0000990,CLAB,990,,Clinical Laboratory,ACTIVE,CURRENT,1,10/24/2019 12:00:00 AM,10/01/2023 12:00:00 AM,09/30/2025 12:00:00 AM,2 1/2 DEARFIELD DR FL 1,GREENWICH,CT,68315335,10/02/2023 12:00:00 AM,POINT (-73.631545014 41.028055996)
1324543,VILLAGE GREEN OF BRISTOL REHABILITATION AND HEALTH CENTER,LIMITED LIABILITY COMPANY,VILLAGE GREEN OF BRISTOL REHABILITATION AND HEALTH CENTER,VILLAGE GREEN OF BRISTOL REHABILITATION AND HEALTH CENTER,CCNH.0002416,CCNH,2416,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,12/09/2015 12:00:00 AM,10/01/2023 12:00:00 AM,09/30/2025 12:00:00 AM,23 FAIR ST,FORESTVILLE,CT,60105531,08/25/2023 12:00:00 AM,POINT (-72.902569667 41.679887355)
