School ID,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,State,geometry,Student_Open_Date,Open_Year
0,Vernon School District,Skinner Road School,Public Schools,1461011,90 Skinner Rd.,Vernon,6066,860-870-6180,CT,POINT (-72.4915022 41.8559389),1984-01-07,1984
1,Department of Social Services,Department of Social Services,State Agencies,3320015,25 Sigourney Street,Hartford,6106,860-424-5129,CT,POINT (-72.6946265 41.7627377),2000-01-07,2000
2,Norwalk School District,West Rocks Middle School,Public Schools,1035411,81 West Rocks Road,Norwalk,6851,203-899-2970,CT,POINT (-73.41611341915257 41.134131),1984-01-07,1984
4,Bridgeport School District,Jettie S. Tisdale School,Public Schools,152211,250 Hollister Avenue,Bridgeport,6607,203-576-8037,CT,POINT (-73.16023450246067 41.17857135),1984-01-07,1984
5,Regional School District 05,Amity Middle School: Orange,Regional Schools,2055212,100 Ohman Ave.,Orange,6477,203-392-3200,CT,POINT (-73.006023959067 41.30290595),2002-01-07,2002
6,Stamford School District,Westhill High School,Public Schools,1356311,125 Roxbury Rd.,Stamford,6902,203-977-4477,CT,POINT (-73.56555214052892 41.09186725),1984-01-07,1984
7,Norwalk School District,Concord Magnet School,Public Schools,1030311,21 Hunters Lane,Norwalk,6850,203-899-2840,CT,POINT (-73.4420929 41.1229603),1984-01-07,1984
8,Woodbridge School District,Woodbridge School District,Public School Districts,1670011,40 Beecher Road,Woodbridge,6525,203-387-6631,CT,POINT (-73.008984 41.3351545),1996-01-07,1996
9,Hartford School District,Hartford PreKindergarten Magnet School: North Campus,Public Schools,641311,85 Edwards Street,Hartford,6120,860-695-5820,CT,POINT (-72.68210655376039 41.7753421),2013-01-07,2013
10,Colchester School District,Colchester Elementary School,Public Schools,280411,315 Halls Hill Rd.,Colchester,6415,860-537-0717,CT,POINT (-72.3163128 41.5747225),2006-01-07,2006
11,Unified School District #1,Garner Correctional Institution,State Agency Facilities,3361915,50 Nunnawauk Road,Newtown,6470,203-270-2897,CT,POINT (-73.27226870683168 41.3998942),2000-01-07,2000
12,Somers School District,Somers High School,Public Schools,1296111,5 Vision Boulevard,Somers,6071,860-749-2270,CT,POINT (-72.45866693257778 41.9769267),1984-01-07,1984
13,Brookfield School District,Brookfield School District,Public School Districts,180011,100 Pocono Road,Brookfield,6804,203-775-7700,CT,POINT (-73.39889680457678 41.46624125),1996-01-07,1996
14,Milford School District,J. F. Kennedy School,Public Schools,841911,404 West Ave.,Milford,6460,203-783-3568,CT,POINT (-73.0889845 41.2164727),1984-01-07,1984
15,Capitol Region Education Council,Capitol Region Education Council,Regional Education Service Center School Districts,2410014,111 Charter Oak Avenue,Hartford,6106,860-524-4063,CT,POINT (-72.6683506 41.758367),2000-01-07,2000
16,Hamden School District,Bear Path School,Public Schools,621211,10 Kirk Rd.,Hamden,6514,203-407-2015,CT,POINT (-72.9273655 41.3895002),1984-01-07,1984
17,The Gilbert School District,The Gilbert School,Endowed and Incorporated Academies Schools,9026122,200 Williams Ave.,Winsted,6098,860-379-8521,CT,POINT (-73.06815412558433 41.9324001),2000-01-07,2000
18,Tolland School District,Birch Grove Primary School,Public Schools,1420111,247 Rhodes RD,Tolland,6084,860-870-6750,CT,POINT (-72.3341415206219 41.86105915),1999-01-07,1999
19,Waterbury School District,Maloney Interdistrict Magnet School,Public Schools,1513111,233 South Elm St.,Waterbury,6706,203-574-8162,CT,POINT (-73.03769311679116 41.5504457),1996-01-07,1996
20,Guilford School District,Guilford Lakes School,Public Schools,600211,40 Maupas Rd.,Guilford,6437,203-453-5201,CT,POINT (-72.68877507857586 41.32843815),1984-01-07,1984
21,Norwalk School District,Brookside Elementary School,Public Schools,1030211,382 Highland Avenue,Norwalk,6854,203-899-2830,CT,POINT (-73.4356017 41.0902528),1984-01-07,1984
22,Regional School District 04,Regional School District 04,Regional School Districts,2040012,1 Winthrop Road,Deep River,6417,860-526-2417,CT,POINT (-72.4562226 41.3646322),2002-01-07,2002
23,Ellington School District,Ellington Middle School,Public Schools,485111,46 Middle Butcher Rd.,Ellington,6029,860-896-2339,CT,POINT (-72.4596723618026 41.87978985),1984-01-07,1984
24,Waterbury School District,Bucks Hill School,Public Schools,1510511,330 Bucks Hill Rd.,Waterbury,6704,203-574-8182,CT,POINT (-73.0286326 41.6006686),1984-01-07,1984
26,Regional School District 16,Regional School District 16,Regional School Districts,2160012,30 Coer Road,Prospect,6712,203-758-6671,CT,POINT (-72.97541928714611 41.4981085),2002-01-07,2002
27,West Haven School District,Harry M. Bailey Middle School,Public Schools,1565111,106 Morgan Ln.,West Haven,6516,203-937-4380,CT,POINT (-72.9784133 41.2540261),1984-01-07,1984
