District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,Student Open Date,School ID,State
Vernon School District,Skinner Road School,Public Schools,1461011,90 Skinner Rd.,Vernon,6066,860-870-6180,01-07-1984,0,CT
Department of Social Services,Department of Social Services,State Agencies,3320015,25 Sigourney Street,Hartford,6106,860-424-5129,01-07-2000,1,CT
Norwalk School District,West Rocks Middle School,Public Schools,1035411,81 West Rocks Road,Norwalk,6851,203-899-2970,01-07-1984,2,CT
Waterbury School District,Waterbury School District,Public School Districts,1510011,"236 Grand Street, Chase Office Building",Waterbury,6702,203-574-8004,01-07-1996,3,CT
Bridgeport School District,Jettie S. Tisdale School,Public Schools,152211,250 Hollister Avenue,Bridgeport,6607,203-576-8037,01-07-1984,4,CT
Regional School District 05,Amity Middle School: Orange,Regional Schools,2055212,100 Ohman Ave.,Orange,6477,203-392-3200,01-07-2002,5,CT
Stamford School District,Westhill High School,Public Schools,1356311,125 Roxbury Rd.,Stamford,6902,203-977-4477,01-07-1984,6,CT
Norwalk School District,Concord Magnet School,Public Schools,1030311,21 Hunters Lane,Norwalk,6850,203-899-2840,01-07-1984,7,CT
Woodbridge School District,Woodbridge School District,Public School Districts,1670011,40 Beecher Road,Woodbridge,6525,203-387-6631,01-07-1996,8,CT
Hartford School District,Hartford PreKindergarten Magnet School: North Campus,Public Schools,641311,85 Edwards Street,Hartford,6120,860-695-5820,01-07-2013,9,CT
Colchester School District,Colchester Elementary School,Public Schools,280411,315 Halls Hill Rd.,Colchester,6415,860-537-0717,01-07-2006,10,CT
Unified School District #1,Garner Correctional Institution,State Agency Facilities,3361915,50 Nunnawauk Road,Newtown,6470,203-270-2897,01-07-2000,11,CT
Somers School District,Somers High School,Public Schools,1296111,5 Vision Boulevard,Somers,6071,860-749-2270,01-07-1984,12,CT
Brookfield School District,Brookfield School District,Public School Districts,180011,100 Pocono Road,Brookfield,6804,203-775-7700,01-07-1996,13,CT
Milford School District,J. F. Kennedy School,Public Schools,841911,404 West Ave.,Milford,6460,203-783-3568,01-07-1984,14,CT
Capitol Region Education Council,Capitol Region Education Council,Regional Education Service Center School Districts,2410014,111 Charter Oak Avenue,Hartford,6106,860-524-4063,01-07-2000,15,CT
Hamden School District,Bear Path School,Public Schools,621211,10 Kirk Rd.,Hamden,6514,203-407-2015,01-07-1984,16,CT
The Gilbert School District,The Gilbert School,Endowed and Incorporated Academies Schools,9026122,200 Williams Ave.,Winsted,6098,860-379-8521,01-07-2000,17,CT
Tolland School District,Birch Grove Primary School,Public Schools,1420111,247 Rhodes RD,Tolland,6084,860-870-6750,01-07-1999,18,CT
Waterbury School District,Maloney Interdistrict Magnet School,Public Schools,1513111,233 South Elm St.,Waterbury,6706,203-574-8162,01-07-1996,19,CT
Guilford School District,Guilford Lakes School,Public Schools,600211,40 Maupas Rd.,Guilford,6437,203-453-5201,01-07-1984,20,CT
Norwalk School District,Brookside Elementary School,Public Schools,1030211,382 Highland Avenue,Norwalk,6854,203-899-2830,01-07-1984,21,CT
Regional School District 04,Regional School District 04,Regional School Districts,2040012,1 Winthrop Road,Deep River,6417,860-526-2417,01-07-2002,22,CT
